id,name,category,falCategory,status,prefix,supportsLora,imageFields,maxRefs,refImagesField,needsSource,needsFirstFrame,supportsI2v,promptField,aspectRatioField,durationField,hasOpenapiOverlay,notes
fal-ai/pony-v7,Pony V7,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/vidu/q2/image-to-video/pro,Vidu,video,image-to-video,available,fal-ai,False,image_url|end_image_url,1,image_url,False,True,True,prompt,,,False,
fal-ai/auto-caption,Auto-Captioner,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/joyai-image-edit,Joyai Image Edit,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/florence-2-large/referring-expression-segmentation,Florence-2 Large,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/pika/v2.2/pikaframes,Pika,video,image-to-video,available,fal-ai,False,,1,image_url,False,True,True,prompt,,,False,
fal-ai/video-prompt-generator,Video Prompt Generator,image,llm,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
bria/genfill/v2,Genfill,image,image-to-image,available,bria,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/qwen-image-2512-trainer,Qwen Image 2512 Trainer,image,training,available,fal-ai,True,,1,image_url,False,False,False,prompt,,,False,supportsLora via schema fields/tags (not id)
fal-ai/flux-lora-canny,FLUX.1 [dev] Canny with LoRAs,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
fal-ai/sam-audio/span-separate,Sam Audio,audio,audio-to-audio,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/pixverse/c1/transition,PixVerse C1 Transition,video,image-to-video,available,fal-ai,False,,1,image_url,False,True,True,prompt,,,False,
fal-ai/kokoro/spanish,Kokoro TTS (Spanish),audio,text-to-audio,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/sam2/video,Segment Anything Model 2,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/image-editing/retouch,Image Editing Retouch,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/moondream3-preview/point,Moondream3 Preview [Point],image,vision,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/flux-1/dev/image-to-image,FLUX.1 [dev],image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/qwen-3-tts/text-to-speech/0.6b,Qwen 3 TTS - Text to Speech [0.6B],audio,text-to-speech,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/wan-vace-apps/video-edit,Wan VACE Video Edit,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/vidu/q2/reference-to-video/pro,Vidu,video,image-to-video,available,fal-ai,False,image_urls,9,image_urls,False,True,True,prompt,,,False,
fal-ai/image-apps-v2/product-photography,Product Photography,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/hunyuan-video-v1.5/text-to-video,Hunyuan Video V1.5,video,text-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,aspect_ratio,,True,Hunyuan Video 1.5 is Tencent's latest and best video model
fal-ai/telestyle-v2,Telestyle V2 Style Transfer,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/ltx-2.3-quality/reference-video-to-video,Ltx 2.3 Quality,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/stable-diffusion-v3-medium/image-to-image,Stable Diffusion V3,image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
pixelcut/product-photo,Pixelcut Product Photo,image,image-to-image,available,pixelcut,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/stable-cascade,Stable Cascade,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/flux-2-lora-gallery/add-background,Flux 2 Lora Gallery,bg,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
fal-ai/hyper3d/rodin/v2.5/text-to-3d/fast,Hyper3D - Rodin V2.5 - Text to 3D - Fast,3d,text-to-3d,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
cassetteai/video-sound-effects-generator,Video Sound Effects Generator,video,video-to-video,available,cassetteai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/wan-vace-14b/inpainting,Wan VACE 14B,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/kling-video/o1/standard/video-to-video/reference,Kling O1 Reference Video to Video [Standard],video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/ideogram/character/remix,Ideogram V3 Character Remix,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/longcat-image,Longcat Image,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/leffa/virtual-tryon,Leffa Virtual TryOn,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/object-removal,Object Removal,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
decart/lucy-edit/pro,Lucy Edit [Pro],video,video-to-video,available,decart,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/sdxl-controlnet-union/image-to-image,SDXL ControlNet Union,image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/cogvideox-5b,CogVideoX-5B,video,text-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/ltx-2.3/retake-video,LTX Video 2.3 Pro,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
rundiffusion-fal/juggernaut-flux-lora,Juggernaut Flux Base LoRA,image,text-to-image,available,rundiffusion-fal,True,,1,image_url,False,False,False,prompt,,,False,
fal-ai/image-editing/face-enhancement,Image Editing Face Enhancement,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/hunyuan-3d/v3.1/smart-topology,Hunyuan 3D Smart Topology,3d,3d-to-3d,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/wan-vace-apps/long-reframe,Wan 2.1 VACE Long Reframe,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/control-light,ControlLight,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
rundiffusion-fal/juggernaut-flux/pro,Juggernaut Flux Pro,image,text-to-image,available,rundiffusion-fal,False,,1,image_url,False,False,False,prompt,,,False,
sonilo/v1.1/video-to-video-sound-effects,V1.1 Video to Video Sound Effects,video,video-to-video,available,sonilo,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/longcat-video/image-to-video/720p,LongCat Video,video,image-to-video,available,fal-ai,False,image_url|end_image_url,1,image_url,False,True,True,prompt,,,False,
blackforestlabs/flux-3/extend-video/draft,Flux 3 Extend Video Draft,video,video-to-video,available,blackforestlabs,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/image-apps-v2/headshot-photo,Headshot Generator,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/image-apps-v2/makeup-application,Makeup Changer,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/ltx-2.3-quality/outpaint,Ltx 2.3 Quality,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/pixart-sigma,PixArt-Σ,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/flux/srpo/image-to-image,FLUX.1 SRPO [dev],image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/image-preprocessors/lineart,Image Preprocessors,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-subject,FLUX.1 Subject,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/luma-photon/flash,Luma Photon Flash,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
bria/bria_video_eraser/erase/prompt,Bria Video Eraser,video,video-to-video,available,bria,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/post-processing/sharpen,Post Processing Sharpen,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/vidu/q2/reference-to-image,Vidu,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/hunyuan_world/image-to-world,Hunyuan World,3d,image-to-3d,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/vibevoice,VibeVoice 1.5B,audio,text-to-speech,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/thinksound,ThinkSound,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/fast-sdxl/inpainting,Stable Diffusion XL,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,supportsLora via schema fields/tags (not id)
fal-ai/speech-to-text/turbo,Speech-to-Text,audio,speech-to-text,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/sdxl-controlnet-union,SDXL ControlNet Union,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
tripo3d/p1/text-to-3d,Tripo P1 Text to 3D,3d,text-to-3d,available,tripo3d,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/chrono-edit,Chrono Edit,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/longcat-image/edit,Longcat Image,image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-2-klein-9b-base-trainer,FLUX 2 [klein] 9b Base Trainer,image,training,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/qwen-3-tts/clone-voice/0.6b,Qwen 3 TTS - Clone Voice [0.6B],audio,audio-to-audio,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/pixverse/v5.6/text-to-video,PixVerse V5.6 Text To Video,video,text-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/image-editing/realism,Image Editing Realism,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-kontext-trainer,Flux Kontext Trainer,image,training,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/flux-2/klein/4b/base/lora,FLUX.2 [klein] 4B Base LoRA,image,text-to-image,available,fal-ai,True,,1,image_url,False,False,False,prompt,,,False,
fal-ai/silero-vad,Silero VAD,audio,audio-to-text,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/cogview4,CogView,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/workflow-utilities/reverse-video,Workflow Utilities Reverse Video,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
veed/video-background-removal/green-screen,Video Background Removal,bg,video-to-video,available,veed,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/vidu/reference-to-video,Vidu Reference to Video,video,image-to-video,available,fal-ai,False,image_urls,9,image_urls,False,True,True,prompt,,,False,
fal-ai/vidu/q1/image-to-video,Vidu Image to Video,video,image-to-video,available,fal-ai,False,image_url,1,image_url,False,True,True,prompt,,,True,Vidu Q1 Image to Video generates high-quality 1080p videos with exceptional visual quality and motion diversity from a s
fal-ai/z-image/turbo/controlnet/lora,Z Image Turbo Controlnet Lora,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
ideogram/v4/lora,Ideogram V4.0q Text to Image (LoRA),image,text-to-image,available,ideogram,True,,1,image_url,False,False,False,prompt,,,False,
veed/avatars/text-to-video,Avatars,video,text-to-video,available,veed,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/pixverse/extend,PixVerse Extend,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/ltx-2.3-quality/extend-video,Ltx 2.3 Quality,video,video-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/kling-video/v1.6/standard/effects,Kling 1.6,video,text-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
minimax/h3/ref2va/trainer,MiniMax H3 Reference to Video LoRA Trainer,image,training,available,minimax,True,,1,image_url,False,False,False,prompt,,,False,supportsLora via schema fields/tags (not id)
fal-ai/recraft/v3/create-style,Recraft V3 Create Style,image,training,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/fast-svd-lcm,Stable Video Diffusion Turbo,video,image-to-video,available,fal-ai,False,,1,image_url,False,True,True,prompt,,,False,
topaz/deblur/video,Topaz Deblur Video,video,video-to-video,available,topaz,False,,1,image_url,False,False,False,prompt,,,False,
blackforestlabs/flux-3/draft-enhance,Flux 3 Draft Enhance,video,video-to-video,available,blackforestlabs,False,,1,image_url,False,False,False,prompt,,,False,
bria/video/erase/mask,Video,video,video-to-video,available,bria,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/flux/schnell/redux,FLUX.1 [schnell] Redux,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/stable-audio-3/small/music/base/text-to-audio,Stable Audio 3,audio,text-to-audio,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/vidu/q1/start-end-to-video,Vidu Start End to Video,video,image-to-video,available,fal-ai,False,end_image_url|start_image_url,1,image_url,False,True,True,prompt,,,True,Vidu Q1 Start-End to Video generates smooth transition 1080p videos between specified start and end images.
fal-ai/bagel/edit,Bagel,image,image-to-image,available,fal-ai,False,image_url,1,image_url,True,False,False,prompt,,,False,
bria/fibo-edit/erase_by_text,Fibo Edit [Erase by Text],image,image-to-image,available,bria,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/hunyuan-image/v2.1/text-to-image,Hunyuan Image,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/kokoro/brazilian-portuguese,Kokoro TTS (Brazilian Portuguese),audio,text-to-audio,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/workflow-utilities/pick-image-by-index,Workflow Utilities Pick Image By Index,image,workflow,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/florence-2-large/dense-region-caption,Florence-2 Large,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/ideogram/v2a/turbo,Ideogram V2A Turbo,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/kling-video/v1.6/standard/elements,Kling 1.6 Elements,video,image-to-video,available,fal-ai,False,,1,image_url,False,True,True,prompt,,,False,
mirage-api/avatar-x/reference-to-video,Mirage Avatar X,video,image-to-video,available,mirage-api,False,image_urls,9,image_urls,False,True,True,prompt,,,False,
fal-ai/flux-1/srpo,FLUX.1 SRPO [dev],image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/moondream3-preview/segment,Moondream3 Preview [Segment],image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/flux-pro/v1.1-ultra-finetuned,FLUX1.1 [pro] ultra Fine-tuned,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/omnigen-v2,Omnigen V2,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/image-editing/age-progression,Image Editing Age Progression,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/stepx-edit2,Stepx Edit2,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/qwen-image-layered/lora,Qwen Image Layered,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
fal-ai/qwen-image-edit-2509-lora-gallery/multiple-angles,Qwen Image Edit 2509 Lora Gallery,image,image-to-image,available,fal-ai,True,,1,image_url,True,False,False,prompt,,,False,
fal-ai/infinitalk/single-text,Infinitalk,video,text-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/image-editing/plushie-style,Image Editing Plushie Style,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/vecglypher/image-to-svg,Vecglypher,image,image-to-image,available,fal-ai,False,,1,image_url,True,False,False,prompt,,,False,
fal-ai/pika/v2.2/pikascenes,Pika Scenes (v2.2),video,image-to-video,available,fal-ai,False,,1,image_url,False,True,True,prompt,,,False,
nvidia/cosmos-3-super/image-to-video,Cosmos 3 Super Image to Video,video,image-to-video,available,nvidia,False,image_url|end_image_url,1,image_url,False,True,True,prompt,,,False,
fal-ai/vidu/start-end-to-video,Vidu Start-End to Video,video,image-to-video,available,fal-ai,False,image_url|end_image_url,1,image_url,False,True,True,prompt,,,False,
fal-ai/lumina-image/v2,Lumina Image 2,image,text-to-image,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
fal-ai/flux-2/klein/4b/lora,FLUX.2 [klein] 4B LoRA,image,text-to-image,available,fal-ai,True,,1,image_url,False,False,False,prompt,,,False,
fal-ai/ltx-2-19b/distilled/text-to-video,LTX-2 19B Distilled,video,text-to-video,available,fal-ai,False,,1,image_url,False,False,False,prompt,,,False,
bria/video/erase/prompt,Video,video,video-to-video,available,bria,False,,1,image_url,False,False,False,prompt,,,False,
